Fragment Size,Count,Range,Group,BAM File
36,14,100-200,Normal,H7-plasma.bam
135789,14,>1000,Normal,H7-plasma.bam
309,14,200-500,Normal,H7-plasma.bam
310,14,200-500,Normal,H7-plasma.bam
40,14,100-200,Normal,H7-plasma.bam
43,14,100-200,Normal,H7-plasma.bam
313,14,200-500,Normal,H7-plasma.bam
488,13,200-500,Normal,H7-plasma.bam
31,13,100-200,Normal,H7-plasma.bam
301,13,200-500,Normal,H7-plasma.bam
2904,13,>1000,Normal,H7-plasma.bam
46,13,100-200,Normal,H7-plasma.bam
38,13,100-200,Normal,H7-plasma.bam
477,12,200-500,Normal,H7-plasma.bam
11800883,12,>1000,Normal,H7-plasma.bam
113260,12,>1000,Normal,H7-plasma.bam
298,12,200-500,Normal,H7-plasma.bam
45529816,12,>1000,Normal,H7-plasma.bam
304,12,200-500,Normal,H7-plasma.bam
48,12,100-200,Normal,H7-plasma.bam
31538,12,>1000,Normal,H7-plasma.bam
11800923,11,>1000,Normal,H7-plasma.bam
483,11,200-500,Normal,H7-plasma.bam
891953,11,>1000,Normal,H7-plasma.bam
841362,11,>1000,Normal,H7-plasma.bam
314,11,200-500,Normal,H7-plasma.bam
11800862,11,>1000,Normal,H7-plasma.bam
44,11,100-200,Normal,H7-plasma.bam
11800861,10,>1000,Normal,H7-plasma.bam
2306646,10,>1000,Normal,H7-plasma.bam
318,10,200-500,Normal,H7-plasma.bam
35,10,100-200,Normal,H7-plasma.bam
306,10,200-500,Normal,H7-plasma.bam
11800929,10,>1000,Normal,H7-plasma.bam
49,10,100-200,Normal,H7-plasma.bam
331,10,200-500,Normal,H7-plasma.bam
320,10,200-500,Normal,H7-plasma.bam
499,10,200-500,Normal,H7-plasma.bam
480,10,200-500,Normal,H7-plasma.bam
476,10,200-500,Normal,H7-plasma.bam
4506,10,>1000,Normal,H7-plasma.bam
7875,10,>1000,Normal,H7-plasma.bam
113259,10,>1000,Normal,H7-plasma.bam
113256,10,>1000,Normal,H7-plasma.bam
311,10,200-500,Normal,H7-plasma.bam
